Red apple,"Red Delicious has a sweet but very mild flavor, somewhat reminscent of slightly over-ripe melon.",img/product/2.jpg,10,13,1,fruits,Martin's Family Fruit Farm
Peach,"Peach, Prunus persica, is a deciduous tree or shrub in the family Rosaceae grown for its edible fruit of the same name.",img/product/33.jpg,7,9,0,fruits,DeVries Fruit Farm
Orange,An orange is a type of citrus fruit that people often eat. Oranges are a very good source of vitamin C.,img/product/4.jpg,8,14,1,fruits,DeVries Fruit Farm
Avocado,"Avocado trees produce clusters of small, green-yellow flowers at the end of twigs and a large, fleshy, pear-shaped fruit with a single large seed.",img/product/6.jpg,12,14,1,fruits,Small Farm Canada
Banana,"A banana is a curved, yellow fruit with a thick skin and soft sweet flesh.",img/product/8.jpg,7,9,0,fruits,Small Farm Canada
Lemon,"Lemon, Citrus limon, is a small evergreen tree in the family Rutaceae grown for its edible fruit which, among other things, are used in a variety of foods and drinks.",img/product/38.jpg,9,11,1,fruits,Quinn Farm
Lime,"Limes are sour, round, and bright green citrus fruits. They\'re nutritional powerhouses — high in vitamin C, antioxidants, and other nutrients.",img/product/22.jpg,16,22,1,fruits,DeVries Fruit Farm
Pineapple,"Pineapple, Ananas comosus, is an herbaceous biennial or perennial plant in the family Bromeliaceae grown for its edible fruit.",img/product/40.jpg,12,16,1,fruits,Small Farm Canada
Kiwi,"Kiwi is a fruit of ovoid shape, of variable size and covered with a brown fuzzy thin skin.",img/product/24.jpg,15,17,0,fruits,Quinn Farm
Grapes,"Grapes are fleshy, rounded fruits that grow in clusters made up of many fruits of greenish, yellowish or purple skin.",img/product/21.jpg,16,22,0,fruits,Martin's Family Fruit Farm
Apricot,"The apricot is a fruit that resembles the peach but much smaller, pale yellow or orange with some red shades.",img/product/7.jpg,7,9,1,fruits,Martin's Family Fruit Farm
Tomato,"Labelled as a vegetable for nutritional purposes, tomatoes are a good source of vitamin C and the phytochemical lycopene.",img/product/41.jpg,11,12,1,vegetables,Quinn Farm
Red pepper,"Red Pepper is made from the ground fruit of a plant in the Capsicum family. The fruits, commonly known as “chilies” or “chili peppers,” are fiery red or orange pods which rarely grow to more than 4 inches in length.",img/product/26.jpg,12,14,1,vegetables,Martin's Family Fruit Farm
Broccoli,"Broccoli, Brassica oleracea, is an herbaceous annual or biennial grown for its edible flower heads which are used as a vegetable.",img/product/11.jpg,18,22,0,vegetables,Quinn Farm
Cabbage,"The cabbage plant, Brassica oleracea, is an herbaceous annual or biennial vegetable in the family Brassicaceae grown for its edible head.",img/product/12.jpg,10,14,0,vegetables,DeVries Fruit Farm
Cucumber,"Cucumber, Cucumis sativus, is a warm season, vining, annual plant in the family Cucurbitaceae grown for its edible cucumber fruit.",img/product/15.jpg,14,16,1,vegetables,DeVries Fruit Farm
Eggplant,"The plants has a branching stem and simple, long, flat. coarsely lobed leaves which are green in color and are arranged alternately on the branches.",img/product/17.jpg,15,18,1,vegetables,Martin's Family Fruit Farm
Orange pepper,"The smooth skin is firm, glossy, and bright orange, and underneath the skin, the equally bright orange flesh is thick, juicy, crisp, and succulent.",img/product/20.jpg,9,10,1,vegetables,Small Farm Canada
White bread,"A type of bread made with white wheat flour that has a fine texture and is one of the most popular varieties of bread. It is often baked commercially, sliced, and packaged to be sold as sandwich bread.",img/product/5.jpg,2,4,0,bread,Butter Baker
Tasty bread,"White bread typically refers to breads made from wheat flour from which the bran and the germ layers have been removed (and set aside) from the whole wheatberry as part of the flour grinding or milling process, producing a light-colored flour.",img/product/10.jpg,3,4,1,bread,COBS Bread
Dark bread,Dark bread contains 1/2 of the magnesium found in whole-wheat bread.,img/product/42.jpg,2,4,0,bread,Dimpflmeier Bakery
Orange juice,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing or reaming oranges.",img/product/14.jpg,3,4,1,juices,Jugo Juice
Tomato juice,"Tomato juice is a juice made from tomatoes, usually used as a beverage, either plain or in cocktails such as a Bloody Mary, a Caesar, or Michelada.",img/product/13.jpg,4,7,1,juices,Greenhouse Juice Co
Apple juice,"Apple juice is a mixture of sugars (primarily fructose, glucose, and sucrose), oligosaccharides, and polysacharides (e.g., starch) together with malic, quinic, and citromalic acids, tannins (i.e., polyphenols), amides and other nitrogenous compounds.",img/product/43.jpg,4,8,1,juices,Village Juicery
Cranberry juice,"The tartness of cranberry juice derives from its mixed content of polyphenols, including flavonoids, proanthocyanidins, anthocyanins, phenolic acids, and ellagitannins.",img/product/44.jpg,5,6,0,juices,Greenhouse Juice Co
Lemon juice,"The juice of the lemon is about 5% to 6% citric acid, with a pH of around 2.2, giving it a sour taste. The distinctive sour taste of lemon juice makes it a key ingredient in drinks and foods such as lemonade and lemon meringue pie.",img/product/46.png,6,9,0,juices,Jugo Juice
Tropical punch,"Tropical juice concentrate is rich in nutrients and potential. Made with a blend of several tropical fruits — mangosteen, acai, passion fruit, pineapple, banana, mango, gogi and camu camu — along with pear and apple, Rainforest Juice Concentrate evokes the taste of a tropical rainforest.",img/product/45.png,11,15,0,juices,Village Juicery
